,Numero d'ordine,Data,Intestazione,Segnatura,Fonte,Bibliografia
10,1006,18 07  1572,BARTOLOMMEO BUSSOTTO IN ROMA A GIORGIO VASARI IN FIRENZE ,"ASA, AV, 10 (XLIV), cc. 91-92.","Molto magnifico Signor Cavalieri. Io mando con questa a Vostra Signoria una lettera del nostro padre priore dal Bosco, la quale contiene quella resoluzione, che ho accennato per le mie a Vostra Signoria, cioè, che e’ non si vuole più spendere, come lei vedrà; et così il negozio vien finito da sé, et mi sa male, che la prima cosa sua, che è passata per le mani mie, abbia avuto questo fine. Et a quella bascio le mani. Di Roma alli 18 di luglio 1572. Di Vostra Signoria come fratello Bartolomeo Bussotto. Al Molto Magnifico come fratello Il Signor, Cavalieri Giorgio Vasari. Fiorenza. ","Frey 1930, p. 690."
11,396,2 05  1562,GIORGIO VASARI IN FIRENZE A GIOVANNI CACCINI IN PISA,"AGC, VIII, n. 16.","Magnifico Messer Giovanni, Signor mio. Ho per l’ultima vostra de 30 del passato inteso, quanto avete fatto e fate de’ fossi, et ho piaciere vi succeda bene l’opera; seguitate, ché tutto è utile e comodità. Del Palazzo de’ Cavalieri mi piacie sentir che vadi in fine e che Sua Eccellenzia lo solleciti; intanto io di continuo vado preparando che di qua venga le pietre delle finestre et ora darò ordine alla porta et camino. La mia consorte da duo giorni in qua è meglio alquanto, ancora ch’ella sia inpedita, e ne spero la sanità, che Dio ne la conceda. Le stanze disopra sì delle Dame come della Duchessa a mezzo questo sarano tutte in ordine da potere abitare, disotto le stanze terene per tutto maggio. La scala a chiocciola si saglie tutto al San Giovanni; spero che vederete e goderete sopra la dogana il simile. Intanto io resto satiffatto dalla Signoria Vostra dello aviso et con questa al fine meli raccomando. Arò caro alla auta di questa che vediate se gli è morto Pierino Dellariva che va sulla galea pisana, e subito ne date aviso della certezza. Altro non mi occorre se non che mi vi raccomando. Lo Spedalingo sta bene e vi saluta. Di Fiorenza alli II di maggio 1562 etc. Il Vostro Giorgio Vasari Al Molto Magnifico Messer Giovanni Caccini, Proveditor di Sua Eccellenza illustrissima. A Pisa. "," Frey 1940, pp. 21-22."
12,1143,10 04  1574, FILIPPO BUONCOMPAGNI IN ROMA A GIORGIO VASARI IN FIRENZE,"ASA, AV, 8 (XLII), cc. 169-170.","Molto magnifico amico carissimo. Mi rallegro con voi, che abbiate passata la quaresima felicemente, e l’opra della cuppola sia ridotta in termine da vederla presto finita, sì come sento anco sodisfazzione che si lavori gagliardamente li ritratti. E però col darle la bona pasqua, pregate Dio, che gli sia consolazione di veder non solamente la cuppola, ma tutte l’opere, principiate da voi con tanto giudizio, a quel perfetto fine, che avete ridotte tutte l’altre, spettando d’aver quanto prima li quadri. Et me vi raccomando di core. Di Roma li X di aprile MDLXXIIII. Tutto vostro il cardinal S. Sisto. Al Molto magnifico amico carissimo il cavaliere Giorgio Vasari a Fiorenza. "," Frey 1930, pp. 830-831."
13,683,5 05  1567,BERNARDETTO MINERBETTI IN AREZZO A GIORGIO VASARI IN FIRENZE ,"ASA, AV, 10 (XLIV), cc. 204, 207.","Molto magnifico messer Giorgio carissimo. Veduto quel che voi scrivete a messer Pietro nella vostra de 3 di questo, mi è parso a proposito mandarvi ser Cosimo Pastrini, el quale in vero io vi propongo a ciascuno altro che di qui d’Arezzo mi si offerisca alla fantasia, o voglian dir cogitativa. Al quale non bisogna in modo alcuno parlar della fattoria per via di patto; perché saria proprio un maritar mona Simone con San Pietro. Egli è persona da ben et amorevole; et so io, che non lascierà di far per voi et per le cose vostre quel medesimo che voi stesso saprete desiderar. Et io, come vostro padre spirituale, vi protesto, che se voi vi resolverete a dar questa dignità col pensiero resoluto, che quel tale sia vostro agente, sarà simonia expressa, né mai arete cosa desiderata, et ogni cosa vi andarà a traverso e nessuno omo da ben mai l’accetterà con questa condizione. Se voi vi resolverete a por la dignità in persona sua, potrete darli le bolle e la licenza del possesso. Né essendo questa per altro, vi lascio con la benedizione di Dio. Di Arezzo V di maggio '67. El vostro Vescovo d’Arezzo. Al molto magnifico messer Giorgio Vasari carissimo. Fiorenza in borgo Santa Croce. ","Frey 1930, pp. 336-337."
14,379,7 02  1562, COSIMO DE’ MEDICI IN PISA A GIORGIO VASARI IN FIRENZE,"ASA, AV, 8 (XLII), cc. 45-46.","Cosimo Medici, Duca Fiorenza e Siena. Carissimo Nostro. A quello che per la vostra de 2 del presente Ci avete scritto Ci occorre solo per risposta dirvi, come Ci è stato grato il ragguaglio delle cose di quelle fabriche, e che attendiate a seguitare con la diligenzia che si conviene, e state sano. Pisa il dì VII di febraio 1561. El Duca di Fiorenza. Vasari pittore... Nostro carissimo. Fiorenza. "," Frey 1923, pp. 664-665."
15,729,17 08  1568,LELIO BONSI IN PISA A COSIMO DE’ MEDICI IN VALLOMBROSA,"ASPI, AOST, n. 148; Suppliche e Informazioni, III, I, n. 142, cc. 352, 399.","Illustrissimo et Eccellentissimo Signor Duca, Granmaestro e Signor nostro Colendissimo. Per informazione con reverenza si dice a Vostra Eccellenza Illustrissima come da noi si è visto un supplicato, fatto da messer Giorgio Vasari all’Eccellenza Vostra, alla quale domanda li beni, che furno già di Niccolò Buonagrazia rebelle, posti in Valdarno. Al qual supplicato Ella ha rescritto che egli intenda, se la Religione li voglia vendere, si come da esso messer Giorgio per tal conto ne è stato scritto al consiglio. E si gli è risposto che la Religione si contenterà di venderli più presto a esso che ad altri, ogni volta che ne segua il debito prezzo e cauzioni, precedente prima il beneplacito di Vostra Eccellenza Illustrissima, mettendole di più in considerazione, come più tempo fa Ella commesse per Suo rescritto che tutti li beni spezzati si dovessino vendere, fra li quali venivano compresi li sopradetti. E perché li deputati a tali vendite, che furno li cavalieri messer Bernardo Ricasoli et messer Girolamo Ciachi, ne venderno molti e le migliori poste et non hanno dato di poi esito al restante, causa che la Religione viene aggravata di spese per fattori et altro, che non comportano l’entrate di detti beni spezzati, però il consiglio saria di parere che, conforme alla mente di Quella, si dovessino vendere non solo li detti di sopra, ma ancora quelli che sono in Mugello, Pietrasanta et altri luoghi, per rispendere il ritratto di essi in luoghi più commodi e di maggiore utile o si vero depositarlo in sul Monte della Pietà, che senza dubbio alcuno se ne trarrà più frutto il doppio di quello che se ne cava di presente; e che similmente, secondo la commessione data da Sua Eccellenza Illustrissima al Balì di Firenze, egli vendessi quelli che sono al Borgo a San Sepolcro: il che non s’intende che da lui si sia per anche esseguito, che, come sia fuori del male, doverà mandare a effetto tal commessione, datane dall’Eccellenza Vostra, dalla Quale del tutto si aspetterà di nuovo la mente Sua. Che il Signore Dio sana et felicissima mantenga. Di Pisa dì XVII di agosto 1568. Di Vostra Eccellenza Illustrissima I. Est. C. 1  Devotissimo servo Lelio Bonsi Granc. E. All’Illustrissimo et Eccellentissimo Signor Duca di Firenze e Siena, fondatore e primo Granmaestro dell’Ordine, Signor nostro col. Mo.   1 Il consiglio cometa a dua altri per eseguir il rescrito Nostro, per vender tali beni spezzati, e Ci dian in nota, quali Ci restano e dove. ","Frey 1930, pp. 399-400."
16,400,12 05  1562,GIORGIO VASARI IN FIRENZE A VINCENZO BORGHINI IN POPPIANO,"ASF, CdA, II, 1, n. 23.","Molto Magnifico e Reverendo Signor mio. Io sarò a ordine per venir queste feste a farle con la Signoria Vostra; ma il non mi avere avisato, se avete costì i miei scritti e le Vite, mi fa dubitare, che io non venga per non far niente, perché queste feste le vorrei consumare in cose utile, ancora che quando son con la Signoria Vostra, non perda mai tenpo. Inperò quella facci, che sabato mattina sia qui uno de vostri di costì, perché io sappi quel che bisognia portare, perché verrò senza Signore, perché la Cosina sta ancora nel medesimo modo, né guarderò per tre dì di non venire, perché la lasserò col suo fratello minore e con altre donne; e intanto non vi do altre nuove che quelle che avete intese da messer Raffaello vostro per le cose di Francia, e resto vostro. Di Firenze alli 12 di maggio 1562. Di Vostra Signoria Servitore Giorgio Vasari. Al Molto Magnifico e Reverendo Signor mio, il Signor Spedalingo de' Nocenti. A Poppiano. "," Gaye 1839-1840, III, p. 68; Milanesi 1878-1885, VIII, p. 356; Frey 1923, pp. 677-678."
17,953,1 01  ,0,0, ,0
18,816,14 04  1570,GUGLIELMO SANGALLETTI IN ROMA A GIORGIO VASARI IN AREZZO,"ASA, AV, 15 (XLIX), cc. 131-132.","Molto Magnifico Signor Mio. Poi che Vostra Signoria aveva il disegnio della cappella con li cardinali et il papa per l’ordine suo, molto mi piacie; le poche cose che vi mancono possete facilmente farle, poi che di tutto ne avete appieno notizia. Aviatevi cura che queste nostre malattie fano di belle burle; qua ancora ne abbiamo le parte nostra. A Nostro Signore ho conferito il tenore della vostra lettera, che li è molto piaciuto, e lauda assai la vostra diligenzia et amorevolezza. Li pilastri de l’altare del Bosco Sua Santità dicie che facciate quel volete et etiam Don Serafino scrive che si esequisca la vostra voluntà. Delle statue del Signor Lionardo d’Ancona aspettiamo sentire qualche particularità. Monsignore di Narni sarà fra dua giorni a Roma et io lo soleciterò conforme a quanto mi ordinate e così li disegni e stucchi. Le bascio le mani. Che Nostro Signore le dia quanto desidera. Marcantonio sta bene et impara benissimo. Addì 14 d’aprile 1570. Di Vostra Signoria Molto Magnifica Servitore G. Sangalletti. Al Molto Magnifico e padrone mio osservandissimo, messer Giorgio Vasari. In Arezzo. ","Frey 1930, p. 502."
19,545,6 12  1564, LEONARDO MARINOZZI IN PISA A GIORGIO VASARI IN FIRENZE,"ASF, Carte Strozziane, 382, ins. 29.","Molto Magnifico Signore mio. La sua de 25 m’è stata molto grata e maggiormente con la venuta di Alessandro d’Arezzo, il quale era necessario, perché maestro Tommaso aveva incominciato il lavoro di sorte, che è bisognato tutto rifarlo; e con la esperienzia e giudizio d’Alessandro si è tutto rifatto di lavoro et apparisce bene, con satisfazione di ciascuno. Sua Eccellenzia vuole, che quelle teste che vanno nel fregio sotto una finestra e l’altra siano sei teste di quei principi, quali hanno fondato e dotato e dato principio alle sei Religione, quale sono queste: la Religione di Malta, di Portogallo, Santo Iacopo di Spagna, Alcantere, Calatrave, Santo Stefano. Delli quali principi quanto prima dice Sua Eccellenza ne mandiate el disegno delli loro ritratti, quali dice essere nel numero de’ ritratti. Et l’altri vani di numero sei, che ci avanza sotto a l’una e l’altra finestra nel medesimo fregio, vuole pitaffi dedicati con parole a proposito e dichiarazione de quelle teste, ciascuno la sua e della Religione: che potendocene mandare alcuno, ci sarà molto grato. Nello spazio di una finestra e l’altra nel medesimo fregio ci va sei ovati, dove debbe entrare sei figure di 2 braccie; e desideriamo che quella quanto prima ci advisi, che sorte di figure propriate a qualche bella invenzione che tra esse ha cosa di Religione con el suo pitaffio. E questo è quanto ci bisogna ricorrere dal mare delle sue invenzioni e pregarla di quore, che quanto prima se ne risolva e ce ne advisi con mandarmi un poco di schizzo di esse. E tutto questo per ordine di Sua Eccellenza; il quale visto il disegno, quale lei mandò, parendogli essere cosa troppo minuta nella maggior altezza del palazzo, ha commesso il sopradetto ordine, del quale la ce ne sarà favorevole, acció tutto il buono ch’abbiamo dependa dalla sua cortesia. Et con questo le bacio le mani. Di Pisa li 6 di decembre 1564. Di Vostra Signoria come fratello etc. Cavaliere Lionardo Marinozzi. Al Molto Magnifico messer Giorgio Vasari d’Arezzo come Fratello Honorando. In Fiorenza. "," Frey 1930, pp. 135-137."
20,115,30 11  1548,GIOVAN MARIA DEL MONTE IN BOLOGNA A GIORGIO VASARI IN AREZZO,"ASA, AV, 8 (XLII), cc. 95-96.","Maestro Giorgio, mio carissimo. Ho veduto il desegno, che m’ha mandato messer Balduino, il quale a me non poterebbe più piacer, si l’avessi fatto Vetruvio o Columella, ma non basta il desegno in carta, si voi non pigliate un poco di fatiga di farlo mettere in esecuzione, però vi prego, che non vi sia grave d’andare fin al Monte e ordinare, che se li dia principio quanto prima se poterà. La fantasia mia intenderete da messer Balduino, la quale è in summa, che sia una villa con tutte le parti che se poterà. E per la prima abbi un poco di recetto d’una casotta, tutta per delettazione. Le commodità penso ch’abbin da esser de là dalla strada in quell’altra nostra possessione, dov’è il colombaro, e che sia il resciaqquator di questa, cioè luoghi per polli d’ogni sorte, galline d’India, pavoni, conigli, colombi grossi, anatre d’India e delle nostre, avviario de quaglie e de tortare e altri simili uccelli. La peschiera se farà alla possession medesima, dove avete designata la fonte. E voglio che la villa sia battizata co ‘l nome vostro e se chiami la Georgica. Denari non mancaranno. Né m’accade dirvi altro se non, che son tutto vostro senza più parole e senza più cerimonie. Da Bologna l’ultimo di novembre MDXLVIII. Il tutto vostro cardinale de Monte. All’egregio e raro pittore e architetto Maestro Giorgio Aretino. ","Frey 1923, pp. 225-227."
